BlockNo,From,Quantity
38267664,0xE89546063D995dFC96D719e4FF533e82A02dBb88,0.624409
38267636,0xA38F0392853e37963f8F60F80d8661aC79214A81,0.008521
38267624,0xA38F0392853e37963f8F60F80d8661aC79214A81,4966.88
38267593,0xE89546063D995dFC96D719e4FF533e82A02dBb88,3887
38267216,0xCF43e9A2F9ED4810de89aE08d88445D8CcF63aB1,600.0005
38266845,0x61f693932193BA5f1B1678D667e99410202c9D85,167.8
38265803,0xD30182b0cb6183D62E297d41c6F0743c5F575B26,2768
38264646,0x03Ec6D3828d5f1127bf086e59A5a4433C853599A,4335
38263697,0xb8e18294bDb03bD3f19695243163c42A541bC4d9,250.04371645501826
38262610,0xEb7821A22602b0518CAf8D973a0738dfd06bc2c3,524.9931523
38262269,0x7352017db953A41389d1B07F2773a50AD7c1AE87,482.86
38262147,0x6610c07E572597Fef728daC61384dD950abAFE7d,84.5
38261777,0x1F3d7724bE40e80EE3B55129dfeb3e7706AB0313,500.276725
38261725,0x88FDa4BDAD0a692F28beE009D3A67005E9411931,5475.875221707981
38261481,0xBC91E8343Bb382aD4067c35cbB9Fe381f86dDe41,2337.5754099940723
38261376,0x3D0E2956d577d59Ab0Df7aBf3e3FE44448c50Ff4,10040.94
38261126,0x8B8A7e3f14C2c74F9C85AbDD48Ca41653fadB029,616.85
38261112,0x2CC7dA5EF8fd01f4a7cD03E785A01941F28fE8da,606.146
38261072,0x6089b9dF631996ef82BFD4F272B0c81137B6Ea83,250
38260907,0xd8121b43CBCe0FA7f5DbF575EDD866DAC075C39A,50
38260823,0xc64A33242dD902E8511f603D9A892557B36Ec20A,1601.962495328017
38260666,0x63C839B6b8c94204a0560C9DCb3f6849E6E61eAd,1230.6776
38260495,0xDC2720a762C5bf9DeeEb54460cC8Fa8a2b62FaC7,202.8016602217311
38260450,0x14d2Da59e2f9069d2F8B1179985e08bA3f10ff15,100
38260203,0x498C46410522ccD24fAad46aE4Bf6f367C315Af7,1081.7836851711995
