BlockNo,From,Quantity
38226601,0x3951E4B34AbCc8D39882F396Cd9334109E8B3cba,1312.293
38226535,0x8d25Bd44F505c08F1160A740528Ce33DddC1Cd65,2001.8935366116657
38226445,0xcC52f72c0813e1aDA3E4ACaCD57d7fFeca3620Ec,1000
38225722,0xCca1ad5b7Ae6bBE9330D85fc8cDEbBe5bC45F48A,1550
38223684,0xEf8a3991bc37517F6426B996dF42e25fa4EEEeCB,500
38223137,0x0c65d8463e8Dda2a5c7a30251A421DF63647Fb5A,500
38221394,0xB23Ccb396c62d427bc2b85A8Df6Ce35DA684ebe9,1250.119
38220893,0x913DFf3bc0Fb4B13468a5D98ea836a4fb6F467c1,382.74779
38220145,0x26862CE3B25608B3a0a1a4851E0bf7B39b8b9E8f,7057
38219435,0xD6f30247e6a8B8656a8B02Ea37247f5eb939c626,250
38211141,0xdb56Fa41BE24A44ca4CD81aC010Cb75b15c09952,2400
38209150,0x9d5531a034c125ac14f0780E6e99310739AD0B14,10000
38209144,0x96cc7cD6De2F739A18d9914015a6eaBbd6cDB6e3,98
38205920,0xC81a77D1F0785ea0788DD4F6266C8C3Ae886dee3,10000
38205578,0x12299729f3CA770a6cD2390dB467948A1473E7A8,77.37575733550885
38203667,0xF9C52DcFbCb85a1F2f003acFBdfF591Ff088D4e4,300.89
38203501,0xE1c56fD123D81DFEcB57C0c6153e8F35F6fE7e13,50
38203411,0xd999aA36D7aF50dF5D980A851152908050021224,250.655
38202268,0x89A64d05d02760cb1C8Fb5848a250e464449f117,1000.0504469503426
38202071,0x039519E6B47a81276D7A4E318de4F0d60eAc4ecc,1500
38201792,0xfD3A7B5fb5c5334766489e4a46fCb46E24834613,300.338
38201413,0x1a669bfC13FDAa895c1d917969bcF541081C9E4a,393.7355911869029
38200979,0xfA1fd704de3f5493090b354a6628c11A95891Fce,983.0325547595291
38199652,0x84AbEd2425a62da3ec826b1e510e05e4B6A4195B,27107.6219856086
38199528,0x5AE36d7Acd459302876b2d1C312d5c2B0507b794,0.00013724373771895
