BlockNo,From,Quantity
38236793,0x6c9987f108a7db67889d31Ce57bDDe3d3C4f9A83,724.4
38235625,0xeB1BcBfEC30297E70ce7Fda0a6729A233c957117,1549.5470187696114
38234101,0x6FEBc32b23F5A9F110B2d9E6F4a7D1e6125ee206,250.07
38233084,0x49d1978DCe1a788A0e33Ac59C004e5fEe4093e95,250
38232941,0x38b41dD55280b70a517e5A0c62645631252014b1,295.37091090473814
38232633,0x080182970F8cf8EBfd7Db1d359Fb81d32680208b,580
38232506,0x35A53dEC7c72eaE9dEcE3250D13A8Dbfdba51919,300.563
38231573,0x8439a3B6ed9cF3771Ba4b91C2812316a209ec194,254.9891647805
38230746,0xC4c4612E59a154640047DB45cC91574c18B7aF27,250
38230587,0x7184303b1b9E46ac83Fa9d585f34660141897281,50
38230475,0x8584cD7c5DF7BE54105e62Cc5799f6e0Fe1804F8,504
38230435,0xAAF78732FcC857f47A4a07FB0AD436efF128f11d,250.00260423714084
38230161,0xa0E9DAb471e6166aFdCBa35AB576077068c7Af18,3000
38230121,0x44979372aED83116860FC7B5dAf70F012e3a3958,1002.976
38230081,0xCAB03eA07c50D5ba4c6df7fa02863AB2C141c868,75.25687820258257
38229612,0x75254d4c51d96dc7Cb5Ba2E3a8257a0232E5C247,0.002317346272627211
38229587,0xe4246510cab8097a8DB8c688D998805ac39B5274,600.725948462
38229432,0x75254d4c51d96dc7Cb5Ba2E3a8257a0232E5C247,1216.74
38228129,0x983c96d82C204F0F97b61E2BBBcf88df4Dc2906B,1476.3417123312736
38227777,0x139612Df42395a9A49714F7C5fe4eff25f64d79d,250
38227700,0xe9D289dce390906eD2E982278f9653f7B03c3DF7,1250
38227687,0x8900612485De7cCFa8ba99cC88701617aCB7f3B2,1217
38226806,0x9d8f02c333646D5982D8A31289F0545034D0eeE6,1295
38226796,0x425075E222B01Fb5Fe68471900f587D754b964AA,251.272348735469
38226686,0xC825C4ed0cE2607939A201f12b591f015d634090,2500
