BlockNo,From,Quantity
38911784,0xcfA8e189dd7Dce85360f7914B7A461813d438a40,2468.61
38910306,0x0Bd3d2362D0Ef2c92805d035d2CCffa515984C15,258.8
38908960,0x8f297d30Bf2C44A896f12BEE00032D59F3983002,250.0000226
38907248,0xAE151Eeb1E090673F0Bf077254c5C3FE9911E167,5118.44509
38898686,0xd93CaC570ebF525B4F1f725606dC8BC4d81ABA63,69.5
38897310,0x6c3fe87718Bb7b49148c635d4753b964E6e029d2,1000.69583
38896886,0x87216A450287B9Ac8da80019bf8a141Cb84E5084,500
38895605,0xdf8C7f8aB67Aa0822A0d545c9B899348E5D1bFE2,300
38895144,0x71EC5ABFc49075e158b0F85575D400D0f5D7d3BE,709.6144769
38894187,0x488eEC81c5278e2ED6D7D9478D629997158bc59d,1000
38894071,0xd7F0c6703BE11B156B89dec6501deeb8ca1221d5,1000
38894048,0xd82f786D762F8b6E9Fb8B1Bd1Ef1eBeF3CC049B5,228.05
38894035,0x81Ec424494006f7034e18C5526f7958b074f8d74,251.27
38893851,0x73FAd72Df5aD5bDE9f42AB6d968B64c513A75315,300
38892823,0xdA6e2ed1c12cf26987eD284306263B3004AB7Eb9,1305.8499
38888828,0xEb4F3983E82Fc975d87132aEE780E893eB8FEc08,1950.74
38885352,0x79A2035d3121A2E4287927Dd7C310817Ef9607Fc,496.2006
38885036,0x9b616Ac1D31F17Be9B23560d93699cA7732e2808,580
38882753,0x5FBd4A3670DF68a42f3F87c217125c2637E947f4,800
