BlockNo,From,Quantity
38181060,0xD0dBFD27346b99AfB07bAB8d41564c57613Cd0a5,651.6755
38180737,0x0433Bd38991E1dD3A07641532E9C66bC19BABe2d,3009.11
38179904,0x5EA9835945f404FB9F1C753A9EABDFB739Db714C,4.315
38179891,0x5EA9835945f404FB9F1C753A9EABDFB739Db714C,5000
38178762,0xbF1EE582F38912F5aCDB12A78cCE57626680F116,3799.4
38178487,0x80f63c7c2EE4E50ee385887459c5764CfeB9a5e9,400
38178335,0x49E835a2d7517e6715fd7253B11E5d323e125FF5,1200.499995988199
38178234,0xfEcC700E4Eb525a52C2E39F231bD0D4a3d6DB9FB,1034.2361560333934
38178145,0xFA934996ab5E05017861345BFDaF1ea1e1d67999,1000
38177627,0x49E835a2d7517e6715fd7253B11E5d323e125FF5,50
38177515,0x4E1cf0B8e675D8Aa54f3fCc24b750111CC01069E,14049
38177505,0x4E1cf0B8e675D8Aa54f3fCc24b750111CC01069E,1000
38177455,0x1e29E82b0a95aeabd70Ef28F2d24923362a3B4C6,1310.513884
38176947,0x6480Bfac15D179076e3c75742cAb0a0C21F31734,41.4
38176904,0xa36e72B78D1ea07872dBF13112061dEcD4825999,1001.267
38176382,0xef4Ee8640376d8cf687cf8892139FBe0852c19B4,2400
38176105,0xfc4755e96E7a935d72f7181AdB0aE8B683d5D467,1852.003
38175489,0x8087fEE86E8967DBF76261f440e5F41B260AE224,6481.525
38175472,0x23271E551Fe63B3c911b3c060Ac62fdEC232ba0E,497.96
38175144,0x683c376d3443Aef7508fdeE5eedf03d3eD79612D,6961.45
38174749,0xeB57dd0A036e0bf4bf16A00C2697C3f6B54d10aB,1200
38174603,0x1b74B9957f31376466A9D72f758d21c6A0e59fB8,320.5
38174018,0xF3A0B253772857Abf3455EDb4b5CC5cb8ed79997,138.69138427350572
38173653,0x48D326d5244B14ece6495ADBdDFF8Fdb44128E01,150
38173195,0x070c8EBa534900E54D74B215D1Dc54d8b05514BE,10251.781948229976
