BlockNo,From,Quantity
38124737,0x8900612485De7cCFa8ba99cC88701617aCB7f3B2,50
38124393,0x0B6E3a17E4Ef968d7690e24386665C27C4F12100,258
38123679,0x8Bc0Fc5b31Fa30266a3dd81753bE66EE4B62A7f9,2029.905285
38122879,0xC4970AA1aa25DCb8f226119A7B8cd12ADCB7381C,1496.011229
38122866,0xC4970AA1aa25DCb8f226119A7B8cd12ADCB7381C,1500
38122371,0x82DDEedc3fED36b418A4a49E1F1f7cB87429269b,902.754
38121881,0x2e4a67F51cB31E68454bBac1c17b123dC518d29C,15000
38121841,0xe43FDc37EF1f64dffc0026BAbf2387D70e6E6dBe,3142.331453
38121820,0x2e4a67F51cB31E68454bBac1c17b123dC518d29C,2000
38121779,0x2e4a67F51cB31E68454bBac1c17b123dC518d29C,10
38121675,0x82620BaCa7ea7E7D1934eaf9814fef88B63efc25,250.5101186
38121652,0xEAEEceA3535052d3FE965542c05256ec78fDC465,302.38
38121527,0x7c608B36F8A0Aa5dcd610fBf188C189Fd27A1fdc,624.736964
38121466,0x52EC8aB0FBD0Beb37d076b8eA2bd2c3D4ab11525,51
38121451,0x56Cb74b86E856dcD3bB046DB148E3CabdE8a48cd,1068
38121432,0xB2256022797Be8F92C3d946097769Bfa9e572316,82.367575
38121393,0xE540C45C504b348aD4D6eB9344e6CFA07C959BE6,1000.657
38121349,0xF63A899d5909a88cb8FeDd636c0190a81990D0a8,534.430572
38121170,0xcbfd1e4a42D629B0a7Ca38028b24dA3C838b8193,251.46
38120982,0x40Cde7747D967E0dF140e69037E69E5BaB588009,1208.457489
38120889,0xCcAc11D20D8f1FedC678ddd14BEDc2b76aEe0E56,463.56
38120879,0x25492833C6Cf42299f91e1640094D96D63EDa07C,6707
38120775,0x4471E943482ad34a8C1e47fA2f0F68b7506e5348,1003.625154
38120721,0x4Ec87DA8A9EB1179B90D17beE3ACE9fdf05030DA,1003.609408
38120685,0xD9c33e32c7dB8D97521b14eC918c8598115635dC,505
