BlockNo,From,Quantity
38117276,0xD7F4AFEdD1a47b016ba122920A7E9C3AC2Bb810d,101.23
38117249,0xFa1Cd8e8c23b50B45C04C35501bbFeeaF4deB3ab,100
38117235,0x4D061713f112100Fbda4C7d4D8e82000AD90267C,1111.6
38117193,0x4d45A446F012dB2207103D954B143382B3d47E9d,100
38114659,0xA38F0392853e37963f8F60F80d8661aC79214A81,5000
38114655,0xE89546063D995dFC96D719e4FF533e82A02dBb88,5000
38114644,0xA38F0392853e37963f8F60F80d8661aC79214A81,5000
38114629,0xE89546063D995dFC96D719e4FF533e82A02dBb88,3000
38112995,0x8A597656A254c81B8841eeB36f42305185853fFd,0.74351
38112970,0x8A597656A254c81B8841eeB36f42305185853fFd,1950
38112163,0x8ee5246a2668104302278Bf77481666260BC1751,3
38112033,0x8ee5246a2668104302278Bf77481666260BC1751,1
38100408,0xF1a0B22EBEaDEa98B15Acfa219e223951799F910,5
38092107,0xA38F0392853e37963f8F60F80d8661aC79214A81,800
38092102,0xA38F0392853e37963f8F60F80d8661aC79214A81,500
38091758,0xE89546063D995dFC96D719e4FF533e82A02dBb88,60
38091753,0xE89546063D995dFC96D719e4FF533e82A02dBb88,40
38091745,0xE89546063D995dFC96D719e4FF533e82A02dBb88,300
38091739,0xE89546063D995dFC96D719e4FF533e82A02dBb88,200
38091734,0xE89546063D995dFC96D719e4FF533e82A02dBb88,200
38091716,0xE89546063D995dFC96D719e4FF533e82A02dBb88,100
38091489,0xE89546063D995dFC96D719e4FF533e82A02dBb88,100
38085786,0xFFec801e9f65A54e3E10e99B31D119A7434103eC,300
38085076,0x8A597656A254c81B8841eeB36f42305185853fFd,46
38085065,0x83FAad862Fb2cD3aA828F7A795f3f559dF0baDD4,1285.92
