address,index,is_claimed
0x03207642567238310Ba8EF2Cb7eBa0Ae8d2ABe84,0,True
0x05e5d6C658D40bbE0857f5826081a5799b08DE32,1,False
0x079e117238De1f75B00ad2bE5F181635a5206210,2,False
0x1bB26A07ddb835Ff3A23ed584c68AF2629D8f2aE,3,False
0x2035F3Fb95080B4922964371133eBa1fE7D4CB2B,4,False
0x259F962e77262eE8d97cc6a112D0E0321323ea0d,5,False
0x270A0De48967E60a419B872807A2A749D1E95fd2,6,True
0x31110Fadb4401Fad566606905C03D9dAf3C87ce2,7,False
0x3745A051dF3bA173a0b76Dc1af2491D18D3eD986,8,True
0x388618D30Aa74b69956880032B2a8c8aAa7f6417,9,True
0x397E378287F2aAE2EabCAE5438d35AcBce8CD038,10,True
0x39bbb8c321fdF88804C4f82487cb91115F1eC780,11,True
0x3f73561DbeD168D1760920e6191Fa2AA2b563269,12,False
0x44051AD7FdA9Ae27bCB397AC753678D0753aE16D,13,True
0x442bee95D7FeA5217431a02A0df4D10Bb1e85e68,14,False
0x4EEfB5A30eD2B43D4D84099f92A9b6Fac943B58f,15,False
0x4f941E5Da657375e75d6d92852431CC7bE3EF7A8,16,True
0x5ACe64072c3B943d5901137543798Cf2C6871B09,17,True
0x5a1870d746C45A8c66db40A6Faf3DbfdD0378EbB,18,True
0x5e40F7f37338a21d087B6745d8F26fBD9b19F049,19,True
0x662deCcbc86b30D846E251cCde1A72C1f80483Cd,20,False
0x6deE014F4164718f529feA368C0cC1d3798ceaE8,21,False
0x6e312cF46084F5Fc30b8E9c88c3D07408dd63020,22,False
0x6e8231A42D9952238D1c7F8EBF8EB9e35d74867a,23,True
0x716aa2eAd00881360f7Ea6876B91Ee629Fff5bA8,24,False
0x72590bDd8C9Cc95858854beB825F11376cdf0A7A,25,True
0x76d7384B59F1a58c1CCe247d2E52751DCe4eEd21,26,True
0x7888A2D566B31d143D57e113Fd65305a83480C37,27,False
0x795f0097a82C0F4A46b3e5Fd64E5d2aF1e148290,28,True
0x7d1484181e6c382BC56E97a234987d78b9226d66,29,False
0x8277ba1481D2dFADb86d9002D123F81967215186,30,True
0x8B9CE9E09283166d1056c4A8cd76362C642145BE,31,False
0x91011DD84fBD8a3e2c41505Cdc5c3fb359521c18,32,False
0x943a445cF8128Ab27f7745B8ee6dFFAE6c9Fe61e,33,False
0x952b7237E985B673a587D58B0Aa2756f09c1B038,34,True
0x99205da5A4664CdCD9995Db492297F95fc59d120,35,False
0xA782862589E5e353Bd450dF556354AdEe13B3388,36,False
0xBa67cB850668EbDC213359e1ACdB96687717E200,37,True
0xC81a77D1F0785ea0788DD4F6266C8C3Ae886dee3,38,True
0xCc54DD4f4D079524A1C417bC2E2c2530179c6337,39,True
0xD52deC06a8452A1B81306a84F585Dd2e25EcaF1b,40,False
0xDEcBF5b0423e46cC1015d729D0574Da2C27feBe0,41,False
0xE60E63Dae09bd69718AEE26F2603dc0B5d1E01Fa,42,False
0xF6193AB4d4bD0a2aC34B31dBe11a5b0017535a20,43,True
0xa10D89d792378e651e67899ad7600e9f7e3Eb429,44,True
0xa3E7457240F0B624A5565D49f049de7eAcC40483,45,True
0xaB61914D7CEEf1090A5538D5C0098c64CbeC37B9,46,False
0xb02268Fa64174635E5bC1c9a94A64B9Ef107293f,47,False
0xd42BEB9bc73D808F8C97211B225326Ea6D9f654B,48,True
0xffDB6D24cc42455b11cF4aB9B688fb8b357D9fC5,49,True
