BlockNo,From,Quantity
38322339,0xE293d3CbcCDFdb55632415Dd21a87Da305A1F7F0,1150
38321697,0x0F623A464DAF9D0CA8902a769eCF5703C6054867,530.7419
38320386,0x080182970F8cf8EBfd7Db1d359Fb81d32680208b,1000
38320045,0x9FB21640d1001d61bAF2C0ccCf63081ad50Fd22A,2900.53
38318543,0xe9D289dce390906eD2E982278f9653f7B03c3DF7,1160
38318038,0xF8eB9226943e19F8817b51fDe97E2bd66E3cC2a9,261
38317737,0x816C98D83E0d6c1Bee19D8EC3B059ECaCB764132,300
38317631,0xaC1caEDcE59C216bcEDE9918A937C76933A38373,300
38317325,0x134fc9C075Cd7567e4844f21660316CAe8DcbD73,300
38315748,0xfca85F249512ba4aeF5A5367A10D02E242d993BD,5000.008200386357
38315235,0xfc4755e96E7a935d72f7181AdB0aE8B683d5D467,1020.69
38314685,0x6480Bfac15D179076e3c75742cAb0a0C21F31734,297
38313549,0xF513B5c68F02A2E30C9D0D01F952fcDD9c1E16fa,250.8088242356777
38313306,0x17dC73f4Ef6BFE211aB89a4f83F23520A2d91E86,30
38312713,0x58cc531dC57f693Eb8ABd0FA0bC07f4cbE3b9ef3,330
38312152,0xc08D4fE9e09997dF8FCF227eb1b7b17Bc1Eef173,575.393
38311915,0x0d8FBfCE9018950e97ea5B10f4DCE118F02fda81,900.09
38311796,0x96cc7cD6De2F739A18d9914015a6eaBbd6cDB6e3,1044.954
38310592,0x553b818cB2B8e54676Edfd6C3993Ca0C2dE256Fe,250
38310513,0x18bBf2050A077Ad737eca601D23B348a31aA2737,50
38310345,0x7ed959C408ef1Ec7767C0Ea6720CA1dD8B9C2Be0,50
38310100,0xe74AC630C5E5eB583E63583E7a523f055200149A,250
38309551,0xB6d3f44d325C35e8434BF389eFD9eE83B19dED54,66.38696774803922
38308853,0x7f950844fBCe3e5c70ba16b012706605F353E0D0,6042
38307925,0x9f3cbb6fD7d9583dB18f41addd6E12e84D10EE00,4000
