pid,user,amount
13,0x2fdae8f8c93c00a010d2ef401ab9a17889c293af,31723392
13,0x827e71b1fec3a37114b7c62db6401d962247b876,211489281
13,0xe5d5245dce768ef43f1c5fa9c96b7e1520d96dc8,211489281
13,0xfa62840318b63b751fc2ffaf5055c6aa94c7a96d,211489281
13,0xba050b96b369d66a7c506e4e13831b861c15208d,97179192
13,0x80d082852bb1e1fdca41130afcb0469b6b8a66b3,127105058
13,0xb79ee378170813fef1e123dbbe9555d131bdb72f,211489281
13,0x6a74d88d6b009a26f801bea483248b0318e3c7af,16042234
13,0x5595c66580a6c7c3a4c52c444174679ff3384e9f,62233381
13,0xf0ea58b65c82c48ce69f0abd68d178e7764c4ba2,211489281
13,0x06b75101418151a6adae4154251eb4aa2a7b7943,211489281
13,0x7d95d724c44675526383ef0c69b2745e251fd58b,57207943
13,0xaa051e49767e1e899574e3ebcaaed237f2f67a0a,197749846
13,0x6cc86c6eef8ddd9818003120e7e7a46900ed9e32,198196212
13,0x5be798bf258ac5319e74428a66e635df491de2b2,211489281
13,0xa0106f7191d81a31faf101a993d60e60bc0b086a,211489281
13,0x1609bc551b38eefe1738bce85ecd46797082709a,211489281
13,0x61e5776b24e2e2db07d2ac729a39ed70f96a9b7c,198665272
13,0x9bd99c41c4dcc607b03fee4db6a4c4114d605680,69368484
13,0xc6d1849af21de257fdfa67271d64529d5cd01881,187273759
13,0xa6e96dbb6b7d2c12062e70d3dec87c4fe23f961f,64738930
13,0xd409769a2430cf7801499a732cef76bd28cdff4e,211489281
13,0x196a37946c3d93e9a5309f539ae28b774a32411f,203088214
13,0x00f9d3006853d08d6a161bfac109a02493aae8d6,194651117
13,0xabda4d7ebbc2b1fc1195b55a619ac752983bfb6b,211489281
13,0x2ae42274c4e0a45b39c3934cfcc83a66776afc0b,168462976
13,0x1076c2cfb8d1f3aa5bf050d8c0d6d128175bfeee,190023119
13,0x2f866300cdbe379df062cf499b3d6ba6644d7d25,211489281
13,0x9cb0e2afa1d32a4f077bc94e412d595dba6ebb71,211489281
13,0x9e5a44f6984d9b90a04deab5d24630b9b502cc56,126893569
13,0x679db7d89e3c6c5873a6272c58a26f98229b3a38,93540165
13,0xa12d205d2b2aef73089ec2b8bd700789489742c4,158616961
13,0x5e8e7a1e4b919c4548085bc8e6a3e8ac254f14a9,201905575
13,0x75afa0148a5330c0d54a63a2388fb4aefb36b540,205041708
13,0x36cc35145dbea5a020ddde8c37818996c0f3480c,211489281
13,0xa0a17f5d92f4b250d463cf5a16549fe6371f6db6,36546437
13,0x8fc87c199203332c1cc43430b9fad2b1868e44d0,39442751
13,0x391fed3582e2cbb40a3c6eb45a8cd34e3b01c360,196045821
