BlockNo,From,Quantity
38279699,0x3B9E8F764EcBE645F4bfEc1a3C6FA1c8Ee855106,3000
38279536,0x366D798AD882B2101b4f406A3FDB2488F8C04363,20504.986
38279229,0x07635410cD191E91395ef54c28Ab776848Fd8De3,420.137
38278539,0x02483ab8b7eb1804Db8DA2b734a15F5813615f85,5605
38277366,0x3048EC9806174F8ca951248C0D12Ded9cda58cDa,500.00866898
38277148,0x8A1C5A404D68C3a9B6D541bE7c0a78125CE85fb3,557.9
38276775,0x76F3D6F298a515eCb765BDcC7abbAA6EF9DA0ec8,1229.9347103997081
38276207,0x2c6aA59aAe70e3E3881De89Bb9196aEcf04b2333,124
38276078,0x1Fe4AE325F03d8649459AEBF08F844ad6bAD3564,302
38275541,0xA0A17F5D92F4B250D463Cf5a16549Fe6371f6db6,314
38271112,0xC4d018d6A1daD681B10D00436035fa622398E494,311.7083977655183
