BlockNo,From,Quantity
40756075,0x93841775526D75AE0C35EcF9FB2dc36d562cAF15,152.36021847690802
40754968,0xC0c41A90E838cDbF43798b4cCAA19D2D46CE97f6,200
40754801,0xC0c41A90E838cDbF43798b4cCAA19D2D46CE97f6,50
40754055,0xc205125419a346408476Bb332ddBF85Ec89b1bDa,106.5569
40753262,0xD2506596f4cC2C4DdfCD9293fD0da82decC17Bec,249.5131554364
40749886,0xD5Ec78C2d4CB7D81AC002A67e2A918f4dF9b01c5,250
40746694,0x8fa48220B8f6140Ca29F1CF532f6e79835b2aBe2,671.6775
40742831,0xdd4536F67079E52337E3b780105E2a8c18F8121e,2413.489283171122
40742065,0x4FE63b21f4446099178F2163C566e821C833fdB1,110
40735834,0xf96C010B262f77E5cc04b05E9d66E66c9487A4c8,401.008856
40733760,0xaCf2c254a3c48b43eFe34BfA6416f533AE017129,2
40733615,0xaCf2c254a3c48b43eFe34BfA6416f533AE017129,1000
40733400,0x54AB6D2077cD74d73f736A1B7bB24b0fA5D916b8,1251
40732471,0x5c8100bf9a03440834367492292Df89aad008699,150
40732346,0xD8bD4ADC965016b88Bd426c0bf6a63f11e6d2854,44.69244614778538
40731368,0xc9de8145637Ac6FE610712ae4d3bACD2e045A161,36.648852149095056
40729857,0x89450dAd63f537Dfd26B660C1C4EF478B25E9c8F,190.2107614338265
40729672,0x9C7C22CA1eF5aB86F69A164e0BC570051a9C0891,799.835490113301
40729345,0x8a1a941eAFEE8dA07096862E7C17caF24E485592,616.4552343
40728535,0x9108f9F2692c29e253a08EE4D166134BDAA85597,250
40728502,0x76cBcc245D3D16d526c2708DFcCcB1d4ad3B3dAc,300
40727901,0xFbA17AcA0797f72Bd8152c5E519100c0C4Caf0AD,500
40727251,0xB2e4850786cB3546ac5fE67F3BED4b6De0b2898C,62.693208544613945
40727086,0x9ab6C46515250d9469E2957D35d463a75515e101,875.8754562243436
40726795,0x077018a17317d8D5D761AcbC2D33E32D15eBb916,1769.0272184365674
