Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x68513556aa313f4dab4dddfa2d63beafb9f31d723f67e2edb1686d30572fd2ad","Success","Burn","20391664","2024-07-26 15:37:23","0xcDb2E1fe2F4613b00395Cc23f1819b912569fa1b","","0x0000000000000000000000000000000000000000","Null: 0x000...000","18,482.6","$1,817.76",""
"0x263bfe30ea7d33c4c30f81105ab46190978970988716e810b80220cb4ac20f8e","Success","Burn","20389454","2024-07-26 08:13:11","0x0Ed67dAaacf97acF041cc65f04A632a8811347fF","","0x0000000000000000000000000000000000000000","Null: 0x000...000","2,000","$196.70",""
"0x62349eb0160b8ae965f1cccff73d2e1d0b63c0d332d1a85e427a3a86c8a65a0d","Success","Burn","20384813","2024-07-25 16:39:23","0x17a152D07cf496E51b2B4A1D69Bc5AF2feD9C52c","","0x0000000000000000000000000000000000000000","Null: 0x000...000","300","$29.51",""
"0x07c6e8996c1221999767464236f1e14b8f479023ef09ae184d2b47a242f3b0f3","Success","Burn","20384651","2024-07-25 16:06:47","0x1D85ddEB7F73c33802D4e2545Ee65a579781e0b6","khoma.eth","0x0000000000000000000000000000000000000000","Null: 0x000...000","300.87","$29.59",""
"0xb5540fcbd48f90fc5a17e08571c6bc5015cc314572dd8b8e4dda562f3bd86bae","Success","Burn","20382567","2024-07-25 09:08:11","0x56e92a7cAFC83791089191b5136dC26168cB575a","","0x0000000000000000000000000000000000000000","Null: 0x000...000","350","$34.42",""
"0x8fc13b34a1f27d0d5bfe14abaac32ee191c4e04930b347ce4f3fbfc4c218e60c","Success","Burn","20378109","2024-07-24 18:11:35","0xEf6dbA3Eb53f9DEc8925eD7423735344173d4023","","0x0000000000000000000000000000000000000000","Null: 0x000...000","53","$5.21",""
"0xdec098c05ae34e4e92a176c6ae34d9482814bc0b3cb2a5f3f401c157aeec4e5a","Success","Burn","20374594","2024-07-24 06:24:59","0x4b00307059B7d881bB8A7dB7505196172d9d01fd","","0x0000000000000000000000000000000000000000","Null: 0x000...000","418.9315271367973","$41.20",""
"0x2eb77b3358f71bf32061f4aaae0b428ae060852ef5a8b8262745c8ea7aef3426","Success","Burn","20368699","2024-07-23 10:41:35","0x59ebD62953cB129e050DF2702DC8B926d1cA7D6C","","0x0000000000000000000000000000000000000000","Null: 0x000...000","500.057","$49.18",""
"0x04c3a9a233bf74a67e0ae7f247d8a8032593cccaecbbfe8e933502ea6fec4407","Success","Burn","20368611","2024-07-23 10:23:59","0xafeAF8EDAe10c63D0575738A3c42736ACdcAeEa3","","0x0000000000000000000000000000000000000000","Null: 0x000...000","108.40547155008917","$10.66",""
"0xe926c1c1a885a6383e52026b2f71a5192c15a3a02c0dda1915a0cd6b020b27c9","Success","Burn","20368524","2024-07-23 10:06:23","0xB1C6dc864459E37Cb997457556363083158D3bF2","","0x0000000000000000000000000000000000000000","Null: 0x000...000","1,330","$130.81",""
"0x4b9b766ed6b82d0226d2d46819bfd8d8c81d0e20106b802947077a887a43302c","Success","Burn","20368288","2024-07-23 09:19:11","0x2a9f215F6156BB7a6C46C746C765e7f92464cdC9","","0x0000000000000000000000000000000000000000","Null: 0x000...000","35.89621982916067","$3.53",""
"0xd69178370bede0b22bb3bdba2b07165cb721bdd8ca295b62166049ee2e75e757","Success","Burn","20368014","2024-07-23 08:24:23","0x1cD5470Dc00DCB3588727fA3d21c6C023658b377","","0x0000000000000000000000000000000000000000","Null: 0x000...000","1,788.2932381311984","$175.88",""
"0xfc6adb90e805fa4d1652192c616c7216ea65fb7b113f610c3c28e716c10385d8","Success","Burn","20367977","2024-07-23 08:16:59","0x49E4950EC4d9D00D5518D1595b899977e25B3991","","0x0000000000000000000000000000000000000000","Null: 0x000...000","125.26822718717484","$12.32",""
"0x49b45dbea1e750cf9a5533f7098fbd321f52eea589bfdc7dacaa4cdcee361fdb","Success","Burn","20364044","2024-07-22 19:05:35","0x1a07f6cfe878d07C1E72371cec74D5981A1C9Ad4","","0x0000000000000000000000000000000000000000","Null: 0x000...000","305","$30.00",""
"0x85287e936dffd040a87976632fa6df9ef4c50e16249dbe537ff240cbe970d5e5","Success","Burn","20363758","2024-07-22 18:07:59","0xf5994cDc21f0c4728629a6248dF0B67313b0dD45","","0x0000000000000000000000000000000000000000","Null: 0x000...000","10,454.947384200354","$1,028.24",""
