BlockNo,From,Quantity
38629360,0x6dE5646d7C9E77dA69b81B887e0C508E483c2b90,250.4032856
38628340,0xC81a77D1F0785ea0788DD4F6266C8C3Ae886dee3,2100
38627678,0xbc8Ca713a71fFbE54446E215eF850f773eC4D5A7,1503
38626256,0x0BDbB0F5e2D9FF8cA29B4170b5A5D3bdc18Aa07E,755.368
38623776,0x373d789852fFE83518E61F8b079cb582d637dd9c,301
38614398,0x3703751d80737a5A0AFA4f0f624329Dcb51fC9D2,653
38611147,0xAf33Ff98776B190e13BDB6D9E806838a5dA122fc,792.3180772
38610643,0xb02Fe8Ce7ed1EDB018611FD0f7DC983028a5E41f,2111.266063
38609085,0x5E821e8479B1950ea2A0FD772C105Ad9B655FEBD,1006.9289
38607747,0xeD796F9e412dd231bba84b077C109e354b0Fb555,350.19
38607635,0xBa67cB850668EbDC213359e1ACdB96687717E200,9744
38606384,0xD92ff6a4D178E0b4060Ade7A69F73C1B3c1Dc3f8,586.61974
38605329,0x73344a14490Adf71752681c1B55eD0E3CEacD5F5,100
38600949,0xCf7bCEF46Aa95449E86F1A2d23b7b4CaA8d6ae3D,300.3390952
38598592,0x9Ad51c4adcF30a3B65672688eAB1769B97428912,1029.87
38598271,0x0EFFE4Fb5280a46a5e787f7a94A3F364117B4EBd,50.47844052
38596050,0x4F470c4Ec279Bb10E9Ba021bA19BfDa126fBa770,518
38584696,0xcAF15B443812b88155D896353df4DeE5036EEa61,602
38580376,0x741050A6B055A3Ba4CEb4519b383a63046Cb1eCE,804
38575366,0x633ce3aE1B46B866B8c6B1796BC898220472F354,550.958
38575265,0x0F8dFda2Cc073a6160c03Ca856Bec0f376e54440,3056
38573931,0x970FD4DF0A6508e537a198a8ec1F4301eF0220c2,500
38571951,0x81389bF2B1fcdA287b090119ea3cC706a16b6C36,1363.531657
38571489,0x6CC86C6eEf8DDd9818003120E7E7A46900eD9E32,10000.18414
38569874,0xDCae611bE1470b5c23CFDf2502cb9CbD9a925720,698.448
