BlockNo,From,Quantity
38542760,0x13958F540111CaA602d187a5001686Ddf2306ff9,1787.78
38542311,0xBD0fbEb5d04a96E84fed4bD485cAe7df09aC7835,3946.375004
38541803,0xBa67cB850668EbDC213359e1ACdB96687717E200,6102.691127
38541716,0x904EcA21B7F1296442FeE4b4b00ad2e2bff3d890,350
38541619,0x08943873222CE63eC48f8907757928dcb06af388,500
38541186,0xed51F66bA4E958235aA0992dD8cf1d2aBcD783bd,772.1998945
38540353,0x25904c20f1CD3C74bEFefeD3D2aB6566D845C8B5,3450
38539523,0x41951A191ec0c833Db8c50c713a07B376D083cC1,1313
38538502,0xB253b4c559452070D76569840D51DFC7C3075Be5,5000.00181
38538230,0x244C0666817bC5CadCd81F05F4400f17FD06e11E,0.00595
38538018,0x8e957e490dF83068F44c6277Dc42Bd61f6Fb3066,255
38538010,0x505A0617101F5820d26D59e30884eE7AB22b575D,100
38537878,0x244C0666817bC5CadCd81F05F4400f17FD06e11E,211.38
38526516,0x21b87C773E4AECa81428Ff8036880601Ec62D148,2601.34223
38525181,0x61412Be4424150e9Bcd38F0b61D9A748c4Af21B1,181
38525110,0x81a72aA945F90142370FC7E3aDDf039ebbe2Ef19,1258.33
38523580,0xbB402e420ECA3160b6d102aa8E693e652Cc5c4B6,4570.001906
38522724,0xa86fD72a2af0238aa6Ada838a0855efB25C6DeB1,3216.9
38522441,0x310f0d17b66881407Cc13d22f557fC3c4Bfd41bb,357.500784
38522115,0xA4C350f7Ee6d318215a76A22D6D1D10D62Cd2137,1252.3125
38521796,0x336B6503157A47f19F155e570db1Ee327c2385D6,322.205514
38521448,0xfC7275b4361fdd8820cff1CdFA3362BB869aDA20,347.5761918
38521247,0x38d4698DCd6584242103C1d949f301286e66cFd0,3000
38520897,0xDF632eA5Ba8283488aAe8538e17a2F802243A61A,300.0417582
38512366,0x18dD27942FA67e6a997f71547655E80E7dFAc29f,1072
