BlockNo,From,Quantity
39272437,0xC81a77D1F0785ea0788DD4F6266C8C3Ae886dee3,5320
39269271,0xF65a25d52bab791347e5a8ac3c59d7A9d76DAC27,500.2174199
39268979,0xfd482854DF90eeAe9A589eB95c9854c62A3f51Ab,580
39268600,0x1d341740703583ec5208B03376455BCb3F8964CD,572
39266422,0x5a4171aF67186Ae8e641d92b82fe33852d52D68A,550
39263667,0x6a66cDb6e5A5065473d216B9fF1b4225fC60bF86,154.0178
39258483,0x76d7384B59F1a58c1CCe247d2E52751DCe4eEd21,3342
39256370,0xF5c11354d916aEC388eb3e6DA3C46D0C8F9Cc9E7,371.8246916
39244844,0x834fe96456115029871860eE88db1d4e12d8Eb1B,551.4971238
39229435,0x5e40F7f37338a21d087B6745d8F26fBD9b19F049,250.4
39226442,0x5bE798Bf258ac5319e74428a66e635df491DE2B2,1000
39214570,0x9657De59414F57951e17F12498aBF6cACED58A62,1206
39214262,0x895aDFC8C4Cde52DbE6D9c79351d36a2Bf3Faca4,100
39213264,0x3d84c4a27D3d345B6B26d120d37DC014b2C7a48B,250
39212548,0x456462bc7c90c700F78C448452Cc5466df67e3B0,301
39210881,0x055c9d415a461D624FDaFaf02D106fE6B9aFF929,500
39210772,0x76d7384B59F1a58c1CCe247d2E52751DCe4eEd21,4027
39210739,0xd666aeD1acC8a47DDdaD5167259C18060dF7C526,1006.118556
39209565,0x9e4EB9Cf12b5E03aAfF815930148addaD7BB646e,250
39208953,0x26aAfe1C9e2ba824D2cDeA61e28e8bff2B62868A,300.1
39208299,0xf062921a1ff8beCC04705789afcB94763fD60cd8,840
39207423,0xde52EfA1cFB4Fed895adA709AEa5Cc18Ae046b0F,426
39207199,0x7F1CD22F3E8DfaC287cB6b1D29a4D28ECB797b9c,12528.4
39207187,0x5a2B75D9B3B062CE05FABfAF85123a1cC3698f69,5067.48
39207166,0x38d4698DCd6584242103C1d949f301286e66cFd0,0.5
