BlockNo,From,Quantity
39207024,0x7ea87BE8ED8B75afaf80a43CdBb40753e7ad74c6,0.006657963591
39206978,0x7ea87BE8ED8B75afaf80a43CdBb40753e7ad74c6,70.82
39205876,0x4a66315E01Dbd8CAD93A8959B0eaBE856c8A355b,147.195
39203493,0x49AE70cACf2C8a5F680cf749706b2f5ced5EFaC0,50
39203195,0x152F6428542d5634cbd00878F61ED6Be88803cd9,250
39200617,0x7BdC78FCe40AE052E17b7f3F61275510493ea838,223.2574045
39200315,0xaeC9712dFB5AaaBB1aa74A8ED422fF4E47a48Ffe,400
39200188,0xaeC9712dFB5AaaBB1aa74A8ED422fF4E47a48Ffe,10
39198635,0xA44A338096ADd7AC67Fc2ee4667A4b9Bc141a4d5,1542
39197431,0xFF1FB850Ab1B4a9CB31Ab3a43D145D90383Bb072,149
39195493,0xC8ad437cAA04dBC11c30782686E14892DCAAAE78,50
39193064,0xB7C75d90041B1149a9319B8BcCAd16B454A076d6,1250.145195
39191660,0xD4f0a07E8eB8f0D78D8Fb9a6C717896eCd7E0760,1896.969731
39191433,0x0988Cc3E99aF9EfBE1D6c5FeEB73D1f7fBCb202E,5475
39187608,0xC0701fcC8B67f328336EF2f646b97c429a273413,231.7367918
39185428,0x72eA179FEb4f8C0EFe22B343E6ea372F4D4C6937,250
39185071,0xC81a77D1F0785ea0788DD4F6266C8C3Ae886dee3,6732
39184449,0x2B4B39316d788eb080056bC505BA18b42cda0eD8,57.88799342
39182576,0x1Ef9f4dEB45c470244d53ca6f1135816FA7A5f52,329.707068
39182523,0xfd482854DF90eeAe9A589eB95c9854c62A3f51Ab,734.9
39181881,0xA5E43D0180b47fA72e9B385b86493Be5b41982AD,390
39181444,0x0BCDa2B744B41657B933Cd099fc6c0e5b4eb8467,925
39179440,0xe98DBB3F44Fb106B7cb3Aad4296F659E3FBffc2e,416
39177810,0x0042A384a2E8e8ACA48B5118CEe225408d857037,300
39177685,0xf607D310A9504D6Cad6b6E8BF3b450311A7f8ec4,601
