BlockNo,From,Quantity
39140073,0xB0e218c5BE3Ae27507f2c9e35460BfbBB1F5db35,7275.75
39126570,0x35D30f3ca338b4E92C5542A01Ebe058c1a6d8206,167
39126409,0x397F69108E9fc3eBDeb3a4C6e33E09Eb8F2B6A97,597.26
39124691,0xC5a444017B9975B80F4fD030BbfEa138058a5E67,1251.8
39123288,0x4ddCdAfeEeee9b064f7EED4d3fD0DA32C8533300,50
39119574,0x56629E895D881Bebb90B592a5B0F52D7E09cCbaD,8500
39119450,0x722d2Fc3be44dCf33bFb67C27C308a9f58893293,1250
39116197,0xFc42d50d3375fDC77D03AF2B2334F5a78afC1332,31.87999716
39115530,0xeaf88464B5628f666DC88577D20DE97C79F10428,359
39115382,0xDe4a1F5abb1E9d9D58EA3658EFf61514eA6f44bF,688
39115362,0xFD0412CFb36Af618692B6d5f24DAcb60187E62b3,165
39115014,0xd2cC14B0628BEAee4C8cd680D507252afCbB418E,3028.850376
39112406,0x9c8566D0097046E3C0726B85474036B9CDA78585,350.6832
39110991,0x2EdD4D78C1B359E3baE03DDe7391F9F22D96087A,3143
39110507,0xBFfec784165EB421EA17A424D2979853B1041D99,520.3801206
39110237,0xAce5B823eA0b0a3e08c05f671dB210A3dC170B2E,200.9037229
39109565,0xADB001E1078b17654872cA7fDFb5f1F9b576dFFd,56.4
39100983,0xed854EA390B9C5394007f82bA49444dd101998A2,250
39099728,0x30C8c66d77a259d3b53473dBDD38B57A7e772C4D,2040.955798
39098608,0x718f5ac06FE3BEdC42388B014fC1231107eA3650,193.0572143
39097575,0xFcc258B802E11bB5c998E05946fdaCdaCdAA7100,732
39097309,0xfd259b5b63881c62AE364acB18752c1E84b5Bd36,3716.706145
39095173,0x05DC39f764B43eCfA99d6ed1CBff0e9f7dE4F6F2,1062
39095147,0xAF2b12877847040989c53ACfFAd259795D0f982e,0.005972669252
39094782,0xAF2b12877847040989c53ACfFAd259795D0f982e,251.03
