BlockNo,From,Quantity
39176687,0x3F9517ac3CCC311C84826fB000bc8df1e45C4b72,300
39171908,0x4e02004c80ffEe6b40239B12BFcD06F234e74a29,4955.233
39171040,0xFbb36eb0ec4639d8DdB31213b5d8b94505Df8F98,50
39170772,0xf3DD5dC633e2e17bc2C996E7afB370e56Fb93BDB,1000
39170438,0x479CeA2AFA57B4e2dA3561793bd69E3f6a4C346C,507.0001182
39168564,0xAa074D2f18a53427A3d03F00a0E1A768af80aE5b,350
39166711,0xb121C379752dA402003132d612dC758b9494a717,300
39160150,0x5aD4e3102FA7c15b2044Af2F1b3A9600E2bd55c9,10009
39159241,0xd730bafAfA2d3B96D73A3fA0eEbD924a7F5E18a2,121.65
39158701,0x6e5B935Ac926E11DeC812eb0A5425ec5e4c96355,200
39155773,0xf0756498013d72809259F18DBE6c124a6d44A8F2,250
39152680,0x8fd6980bDeE15c3fAD7E6dFcFaa9D625ced6013f,350.1921185
39151889,0xfF3e90207C76c835d0F69cAdf684A2989Ab81071,1301.555325
39150728,0xAdd3aE6B9Ba14FEA02E2e00d34771F286D97B303,111.3
39150715,0x33bf568eF0f436B009a81520F9BccF8e2124d18D,1250
39147916,0x16A7aA64872FF37a456de74b3783fBd4DF3bD6d0,300
39145836,0x21FEC8Fab25613d3D1d1294346C04177E565b1C2,412
39143956,0x018A973136feeE8D41cb5A5De46fA491baECf2Dd,250
39142921,0xF53b62171B9b057C41e52770DCC33B347d048C15,3000
39142737,0xd3cfa09Abb5dEc89418e4989C0eA62d17429798e,860.019748
39142531,0x9F3f66DA80bb8101F6c770F6cF5D9023D7819da4,539
39142439,0x9F3f66DA80bb8101F6c770F6cF5D9023D7819da4,406
39141081,0xDE581C6203226cf5183f58939683798BD4839270,490
39140433,0x36B1ff9408a75E5A17Eca15C18c237d471a45FE5,300
39140206,0xC9EB4e98E81E6b0aBcF7b85dFa0196E2f6cF2fCc,300
